"","GeneName"
"1233","Ube3b"
"1234","Mvk"
"1235","Fam222a"
"1236","Ndufb4"
"1237","Cyp51"
"1238","Mien1"
"1239","Gm26588"
"1240","Emc10"
"1241","Bmi1"
"1242","Scrn2"
"1243","Cbx1"
"1244","Magi2"
"1245","Tbc1d10b"
"1246","Wnt3"
"1247","Fiz1"
"1248","Srsf10"
"1249","2310022A10Rik"
"1250","Taf3"
"1251","Stmn1"
"1252","Cyp27a1"
"1253","Stx6"
"1254","Mettl2"
"1255","Arid1a"
"1256","Csk"
"1257","Cntn3"
"1258","Sez6l2"
"1259","Fbxw17"
"1260","Tmem189"
"1261","Bloc1s1"
"1262","Sbf1"
"1263","Ptpn11"
"1264","Rbm11"
"1265","Szrd1"
"1266","Aifm2"
"1267","Kxd1"
"1268","Emc1"
"1269","Ormdl2"
"1270","Pi4k2a"
"1271","Jund"
"1272","Mthfsl"
"1273","Usp16"
"1274","Oxsr1"
"1275","Reep3"
"1276","Rab43"
"1277","Klhl8"
"1278","Zcchc10"
"1279","Litaf"
"1280","Larp6"
"1281","Txndc11"
"1282","Kcna4"
"1283","Ccdc13"
"1284","Hdhd2"
"1285","Tbcb"
"1286","Elp4"
"1287","Bola3"
"1288","Nde1"
"1289","Cd59a"
"1290","Ubac1"
"1291","Bmp2k"
"1292","Dym"
"1293","Inpp5a"
"1294","A930007I19Rik"
"1295","Jakmip3"
"1296","Spred1"
"1297","S100b"
"1298","Inafm2"
"1299","Rufy3"
"1300","Calcoco1"
"1301","Hmgcs1"
"1302","Sec24a"
"1303","Vps39"
"1304","Sp7"
"1305","Ankrd29"
"1306","Ganc"
"1307","Rest"
"1308","Polr1b"
"1309","Ube2d1"
"1310","Slc4a1ap"
"1311","Polr1a"
"1312","Ptprn2"
"1313","Cwc15"
"1314","Hectd2"
"1315","Tpt1"
"1316","Sf3b5"
"1317","Plagl1"
"1318","Lmbr1"
"1319","Ncbp2"
"1320","Cpeb3"
"1321","Lmln"
"1322","Leprotl1"
"1323","Ado"
"1324","Plekha2"
"1325","Cisd1"
"1326","Zbtb37"
"1327","Tmed5"
"1328","Fam53b"
"1329","Fbxl5"
"1330","Ddrgk1"
"1331","Pdcd5"
"1332","Cela1"
"1333","Ptrhd1"
"1334","Gm17491"
"1335","Polb"
"1336","Me2"
"1337","Pet100"
"1338","Tgfa"
"1339","Mrpl41"
"1340","Golga3"
"1341","Eapp"
"1342","Cuedc1"
"1343","Pcna-ps2"
"1344","Rnps1"
